"term","type","domain","category","severity","platforms","why","example","pattern","sources"
"greenhaven","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.071). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"birdwatchers","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.071). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"adwoa","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.072). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"appreciatively","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; gpt-4.5-preview; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.072). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"awestruck","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.072). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"ecotech","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.072). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"lightheartedness","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.073). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"disapprovingly","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.073). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"exclaimed","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.073). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"samir","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.073). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"fishkeeping","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.073). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"sparked","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.074). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"welled","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.074). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"jotting","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.074). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"resourcefulness","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.074). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"reminisced","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.075). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"abernathy","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.076). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"unbeknownst","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.076). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"pattered","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.077). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"reassuringly","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.077). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"miscommunications","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; llama; llama-4-scout; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.077). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"wafted","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.077). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"absentmindedly","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.077). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"weightiness","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.078). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"allyship","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.078). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"perseverance","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.078). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"mindfully","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.079). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"disheartened","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.079). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"leaned","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.079). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"birder","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.079). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"captivated","word","both","antislop (open-model slop)","high","chatgpt; claude; claude-3-haiku; gemini; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.079). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"ravi","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.079). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"abuela","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.08). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"apprehensions","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.08). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"gestured","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.08). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"sagely","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.08). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"jamie","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.08). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"emily","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.08). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"piquing","word","both","antislop (open-model slop)","high","chatgpt; gemini; suno; udio; claude","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.08). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
"bated","word","both","antislop (open-model slop)","high","chatgpt; claude; gemini; shared; suno; udio","Over-represented in LLM output vs human writing (EQ-Bench antislop list, suppression 0.08). Open-model slop that distills into most fine-tunes/wrappers.","",,"antislop"
