AI-CLICHE DETECTION DB  -  22762 entries
format: [severity] domain/type | category | TERM :: why
[low   ] both/phrase | email copywriting census | Dated UI :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Dave T :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | scifi horror census | David 8 :: Overused AI term catalogued from the 'scifi horror' census sweep (source count 1).
[low   ] both/phrase | scifi horror census | DAW Books :: Overused AI term catalogued from the 'scifi horror' census sweep (source count 1).
[low   ] both/phrase | social media census | Day-in-the-life content :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | social media census | Day-in-the-life montage :: Overused AI term catalogued from the 'social media' census sweep (source count 1).
[low   ] both/phrase | slop-forensics collocation | days turned :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | slop-forensics collocation | days turned weeks :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | fantasy fiction census | DC Comics :: Overused AI term catalogued from the 'fantasy fiction' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Deal memos :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Dec 2023 :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Deceive, Manipulate :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | poetry census | Decide to :: Overused AI term catalogued from the 'poetry' census sweep (source count 1).
[low   ] both/phrase | model-distinctive collocation | decision making :: Top repetitive n-gram in gpt-4o-mini output (slop-forensics).
[low   ] both/phrase | model-distinctive collocation | decision making processes :: Top repetitive n-gram in gpt-4o-mini output (slop-forensics).
[low   ] both/phrase | corporate census | decision postponed :: Overused AI term catalogued from the 'corporate' census sweep (source count 1).
[low   ] both/phrase | travel census | Decision support :: Overused AI term catalogued from the 'travel' census sweep (source count 1).
[low   ] both/phrase | legal medical census | Declaration drafts :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | claude census | Declare done :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | slop-forensics collocation | deep breath :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | slop-forensics collocation | deep breath feeling :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | slop-forensics collocation | deep breath steeling :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | slop-forensics collocation | deep breath stepped :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | model-distinctive collocation | deep breath try :: Top repetitive n-gram in llama-3.1-70b-instruct output (slop-forensics).
[low   ] both/phrase | slop-forensics collocation | deep breath trying :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | travel census | deep learning :: Overused AI term catalogued from the 'travel' census sweep (source count 1).
[low   ] both/phrase | model-distinctive collocation | deep seated :: Top repetitive n-gram in glm-4.6 output (slop-forensics).
[low   ] both/phrase | model-distinctive collocation | deep understanding :: Top repetitive n-gram in gemini-2.5-flash-lite output (slop-forensics).
[low   ] both/phrase | slop-forensics collocation | deep within :: Cross-model repetitive collocation (slop-forensics; stopwords stripped — words may appear with function words between).
[low   ] both/phrase | news journalism census | Deep, contextual :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | claude census | DeepAnalyse™ Technology :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | legal medical census | deeper research :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Deepfake videos :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | DeepL Write :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | romance fiction census | DeepSeek V3 :: Overused AI term catalogued from the 'romance fiction' census sweep (source count 1).
[low   ] both/phrase | claude census | Default hedging :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | claude census | Default verbosity :: Overused AI term catalogued from the 'claude' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Delay timing :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | news journalism census | Deliberate, contextual :: Overused AI term catalogued from the 'news journalism' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Deliverability monitoring :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 5).
[low   ] both/phrase | legal medical census | deliverable type :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
[low   ] both/phrase | legal medical census | demand letters :: Overused AI term catalogued from the 'legal medical' census sweep (source count 2).
[low   ] both/phrase | real estate census | Demographic descriptors :: Overused AI term catalogued from the 'real estate' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Dental sequence :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | email copywriting census | Dental-industry standard :: Overused AI term catalogued from the 'email copywriting' census sweep (source count 1).
[low   ] both/phrase | legal medical census | dependable delivery :: Overused AI term catalogued from the 'legal medical' census sweep (source count 1).
